iter	Passed	Remaining
0	4	4950
1	8	4086
2	13	4502
3	21	5277
4	24	4790
5	31	5163
6	36	5176
7	39	4883
8	46	5120
9	52	5163
10	55	4958
11	60	4997
12	67	5110
13	70	4956
14	84	5528
15	89	5482
16	95	5528
17	101	5561
18	105	5458
19	111	5476
20	116	5436
21	119	5318
22	127	5428
23	132	5391
24	135	5283
25	141	5299
26	147	5310
27	150	5226
28	154	5182
29	160	5194
30	163	5124
31	167	5064
32	173	5071
33	179	5102
34	182	5030
35	190	5108
36	195	5090
37	199	5058
38	211	5211
39	216	5184
40	224	5245
41	229	5226
42	232	5177
43	241	5244
44	245	5219
45	250	5185
46	256	5210
47	260	5173
48	263	5118
49	267	5091
50	275	5122
51	278	5070
52	281	5020
53	288	5061
54	292	5018
55	294	4969
56	298	4931
57	306	4977
58	309	4935
59	312	4893
60	317	4893
61	324	4914
62	327	4874
63	330	4838
64	338	4875
65	341	4837
66	344	4799
67	351	4811
68	356	4808
69	359	4772
70	362	4739
71	370	4777
72	374	4751
73	377	4722
74	385	4751
75	389	4729
76	391	4697
77	395	4678
78	403	4699
79	407	4688
80	414	4700
81	419	4700
82	422	4670
83	425	4642
84	432	4656
85	440	4679
86	443	4650
87	449	4663
88	456	4675
89	459	4646
90	466	4660
91	472	4660
92	474	4632
93	481	4637
94	484	4613
95	488	4600
96	493	4594
97	498	4587
98	503	4586
99	508	4573
100	513	4569
101	518	4567
102	521	4542
103	529	4560
104	535	4561
105	537	4535
106	544	4542
107	548	4531
108	551	4512
109	556	4505
110	561	4498
111	566	4488
112	570	4481
113	576	4476
114	581	4476
115	584	4453
116	591	4465
117	596	4460
118	599	4441
119	605	4443
120	612	4449
121	618	4450
122	623	4447
123	626	4427
124	629	4406
125	631	4377
126	638	4390
127	643	4383
128	646	4363
129	653	4371
130	659	4372
131	661	4352
132	668	4359
133	673	4353
134	676	4334
135	680	4325
136	688	4338
137	691	4318
138	694	4300
139	703	4319
140	705	4300
141	708	4282
142	714	4282
143	719	4277
144	722	4261
145	727	4254
146	729	4232
147	733	4222
148	737	4211
149	742	4207
150	746	4198
151	753	4202
152	755	4185
153	763	4195
154	766	4180
155	769	4163
156	772	4149
157	779	4156
158	787	4164
159	794	4171
160	798	4158
161	805	4167
162	810	4160
163	811	4137
164	814	4120
165	817	4105
166	823	4107
167	826	4092
168	831	4090
169	836	4084
170	843	4087
171	848	4082
172	852	4073
173	857	4069
174	861	4063
175	862	4039
176	867	4033
177	871	4024
178	878	4029
179	885	4032
180	896	4055
181	902	4056
182	905	4041
183	910	4040
184	914	4027
185	917	4013
186	919	3999
187	922	3985
188	925	3971
189	928	3957
190	931	3944
191	933	3930
192	936	3916
193	939	3902
194	942	3889
195	945	3877
196	948	3864
197	950	3851
198	953	3838
199	956	3826
200	959	3813
201	960	3793
202	962	3780
203	965	3768
204	966	3749
205	971	3743
206	975	3735
207	979	3728
208	980	3711
209	984	3702
210	988	3694
211	991	3686
212	994	3674
213	997	3662
214	999	3650
215	1002	3638
216	1005	3626
217	1008	3616
218	1009	3601
219	1013	3591
220	1021	3601
221	1024	3590
222	1025	3574
223	1028	3562
224	1030	3550
225	1033	3539
226	1037	3532
227	1040	3522
228	1046	3524
229	1049	3513
230	1052	3503
231	1055	3492
232	1057	3482
233	1060	3472
234	1063	3461
235	1066	3451
236	1068	3441
237	1070	3428
238	1073	3418
239	1074	3402
240	1077	3392
241	1078	3376
242	1080	3366
243	1082	3352
244	1083	3338
245	1085	3328
246	1087	3314
247	1088	3300
248	1091	3290
249	1092	3277
250	1094	3267
251	1095	3253
252	1098	3243
253	1101	3233
254	1103	3224
255	1106	3214
256	1108	3205
257	1111	3196
258	1112	3182
259	1114	3173
260	1117	3163
261	1119	3154
262	1122	3145
263	1124	3135
264	1125	3122
265	1128	3113
266	1130	3104
267	1133	3095
268	1135	3086
269	1137	3074
270	1137	3060
271	1138	3048
272	1139	3034
273	1140	3022
274	1143	3014
275	1145	3005
276	1148	2997
277	1151	2990
278	1152	2977
279	1153	2966
280	1154	2954
281	1157	2947
282	1161	2942
283	1165	2938
284	1168	2932
285	1171	2924
286	1173	2916
287	1174	2904
288	1175	2892
289	1178	2884
290	1181	2878
291	1182	2867
292	1185	2859
293	1187	2852
294	1190	2844
295	1193	2839
296	1196	2832
297	1199	2825
298	1204	2823
299	1206	2814
300	1211	2813
301	1212	2802
302	1213	2790
303	1217	2788
304	1223	2787
305	1225	2779
306	1228	2772
307	1228	2761
308	1230	2751
309	1233	2746
310	1237	2741
311	1239	2733
312	1242	2726
313	1246	2724
314	1252	2722
315	1254	2716
316	1257	2709
317	1262	2707
318	1265	2701
319	1269	2697
320	1271	2689
321	1272	2679
322	1278	2679
323	1281	2673
324	1287	2673
325	1289	2666
326	1296	2668
327	1299	2661
328	1302	2656
329	1303	2646
330	1304	2635
331	1311	2638
332	1316	2636
333	1318	2629
334	1326	2633
335	1332	2633
336	1338	2632
337	1340	2625
338	1345	2622
339	1349	2619
340	1354	2618
341	1360	2616
342	1362	2610
343	1364	2601
344	1369	2599
345	1371	2592
346	1377	2592
347	1378	2582
348	1383	2581
349	1389	2580
350	1393	2575
351	1394	2566
352	1399	2564
353	1402	2559
354	1406	2555
355	1409	2549
356	1416	2550
357	1419	2545
358	1424	2542
359	1430	2542
360	1433	2536
361	1433	2527
362	1439	2526
363	1445	2526
364	1448	2520
365	1452	2516
366	1456	2512
367	1461	2509
368	1464	2504
369	1467	2497
370	1469	2491
371	1476	2492
372	1479	2486
373	1484	2485
374	1490	2484
375	1493	2478
376	1497	2475
377	1501	2471
378	1505	2466
379	1507	2460
380	1512	2457
381	1518	2456
382	1521	2451
383	1526	2448
384	1532	2448
385	1536	2444
386	1542	2442
387	1546	2439
388	1553	2439
389	1556	2434
390	1561	2431
391	1562	2423
392	1565	2417
393	1571	2417
394	1574	2411
395	1576	2404
396	1580	2401
397	1587	2400
398	1588	2392
399	1591	2387
400	1595	2383
401	1600	2380
402	1601	2371
403	1603	2365
404	1610	2366
405	1616	2364
406	1618	2358
407	1625	2358
408	1628	2352
409	1633	2350
410	1637	2347
411	1642	2343
412	1647	2341
413	1648	2332
414	1652	2329
415	1654	2322
416	1656	2316
417	1661	2312
418	1663	2307
419	1670	2306
420	1673	2302
421	1677	2297
422	1681	2293
423	1685	2289
424	1687	2282
425	1694	2283
426	1699	2280
427	1704	2278
428	1713	2280
429	1716	2275
430	1722	2274
431	1728	2272
432	1732	2268
433	1738	2266
434	1743	2264
435	1746	2259
436	1750	2255
437	1753	2249
438	1760	2249
439	1762	2243
440	1768	2242
441	1775	2241
442	1778	2236
443	1784	2234
444	1791	2234
445	1802	2239
446	1809	2238
447	1812	2233
448	1821	2235
449	1824	2229
450	1827	2224
451	1830	2219
452	1835	2216
453	1838	2211
454	1841	2205
455	1844	2200
456	1852	2201
457	1855	2195
458	1858	2190
459	1861	2185
