,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
2013-11-18,,,,,6.1351,,101.94
2013-11-25,,,375013373.00,24344624.00,6.138,,102.14
2013-12-02,,,,,6.1325,,103.53
2013-12-09,,,,,6.1232,,104.01
2013-12-16,,,,,6.1148,,101.57
2013-12-23,,,,,6.1196,,104.63
2013-12-30,,,421780057.00,23012790.00,6.105,,105.14
2014-01-06,,,,,6.1039,,102.77
2014-01-13,,,,,6.1008,,103.76
2014-01-20,,,,,6.1041,,103.8
2014-01-27,,,276655330.00,17469270.00,6.1035,,104.73
2014-02-03,,,,,6.105,,102.06
2014-02-10,,,,,6.1089,,103.47
2014-02-17,,,,,6.107,,103.94
2014-02-24,,,212834157.00,15931917.00,6.1176,,103.51
2014-03-03,,,,,6.1214,,109.81
2014-03-10,,,,,6.1201,,108.96
2014-03-17,,,,,6.1346,,108.42
2014-03-24,,,,,6.1475,,106.02
2014-03-31,,,235650440.00,13120443.00,6.149,,105.31
2014-04-07,,,,,6.1557,,99.71
2014-04-14,,,,,6.1495,,106.47
2014-04-21,,,,,6.1575,,106.82
2014-04-28,,,229256103.00,11747879.00,6.1576,,107.18
2014-05-05,,,,,6.1579999999999995,,103.79
2014-05-12,,,,,6.1581,,101.59
2014-05-19,,,,,6.1628,,103.69
2014-05-26,,,241834583.00,18807889.00,6.1681,,103.79
2014-06-02,,,,,6.1695,,103.43
2014-06-09,,,,,6.1623,,105.61
2014-06-16,,,,,6.1503,,108.57
2014-06-23,,,,,6.1524,,109.57
2014-06-30,,,244289259.00,15094322.00,6.1543,,105.98
2014-07-07,,,,,6.1642,,103.62
2014-07-14,,,,,6.1469,,100.44
2014-07-21,,,,,6.1568,,100.13
2014-07-28,,,263846802.00,15569417.00,6.1597,,
2014-08-04,,,,,6.1681,,98
2014-08-11,,,,,6.1562,,98.39
2014-08-18,,,,,6.1538,,95.26
2014-08-25,,,226068561.00,12952774.00,6.1617,,95.26
2014-09-01,,,,,6.1647,,95.65
