Date,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
2008-11-16,,,,,6.8289,,
2008-11-23,,,,,6.8317,,
2008-11-30,,,,,6.8349,,
2008-12-07,,,,,6.8482,,
2008-12-14,,,,,6.8451,,
2008-12-21,,,,,6.8357,,
2008-12-28,,,,,6.8389,,
2009-01-04,,,,,6.8346,,
2009-01-11,,,,,6.8363,,
2009-01-18,,,,,6.8383,,
2009-01-25,,,,,6.838,,
2009-02-08,,,,,6.8371,,
2009-02-15,,,,,6.8334,,
2009-02-22,,,,,6.8357,,
2009-03-01,,,,,6.8379,,
2009-03-08,,,,,6.837,,
2009-03-15,,,,,6.8334,,
2009-03-22,,,,,6.8293,,
2009-03-29,,,,,6.8317,,
2009-04-05,,,,,6.832,,
2009-04-12,,,,,6.8358,,
2009-04-19,,,,,6.8311,,
2009-04-26,,,,,6.8273,,
2009-05-03,,,,,6.825,,
2009-05-10,,,,,6.8221,,
2009-05-17,,,,,6.8247,,
2009-05-24,,,,,6.8239,,
2009-05-31,,,,,6.8324,,
2009-06-07,,,,,6.8334,,
2009-06-14,,,,,6.8325,,
2009-06-21,,,,,6.8338,,
2009-06-28,,,,,6.8328,,
2009-07-05,,,,,6.8333,,
2009-07-12,,,,,6.8313,,
2009-07-19,,,,,6.831,,
2009-07-26,,,,,6.8318,,
2009-08-02,,,,,6.8323,,
2009-08-09,,,,,6.8316,,
2009-08-16,,,,,6.8328,,
2009-08-23,,,,,6.8313,,
2009-08-30,,,,,6.8309,,
2009-09-06,,,,,6.831,,
2009-09-13,,,,,6.8282,,
2009-09-20,,,,,6.8271,,
2009-09-27,,,,,6.8287,,
2009-10-04,,,,,6.829,,
2009-10-11,,,,,6.827,,
2009-10-18,,,,,6.827,,
2009-10-25,,,,,6.8275,,
2009-11-01,,,,,6.8281,,
2009-11-08,,,,,6.8276,,
2009-11-15,,,,,6.8273,,
2009-11-22,,,,,6.8278,,
2009-11-29,,,,,6.8269,,
2009-12-06,,,,,6.8272,,
2009-12-13,,,,,6.8277,,
2009-12-20,,,,,6.8284,,
2009-12-27,,,,,6.8287,,
2010-01-03,,,,,6.8282,,
2010-01-10,,,,,6.8279,,
2010-01-17,,,,,6.8271,,
2010-01-24,,,,,6.8271,,
2010-01-31,,,,,6.827,,
2010-02-07,,,,,6.8272,,
2010-02-14,,,,,6.8269,,
2010-02-28,,,,,6.8269,,
2010-03-07,,,,,6.8266,,
2010-03-14,,,,,6.8262,,
2010-03-21,,,,,6.8263,,
2010-03-28,,,,,6.8268,,
2010-04-04,,,,,6.8261,,
2010-04-11,,,,,6.826,,
2010-04-18,,,,,6.8261,,
2010-04-25,,,,,6.8264,,
2010-05-02,,,,,6.8263,,
2010-05-09,,,,,6.8271,,
2010-05-16,,,,,6.8273,,
2010-05-23,,,,,6.8276,,
2010-05-30,,,,,6.8279,,
2010-06-06,,,,,6.8281,,
2010-06-13,,,,,6.8279,,
2010-06-20,,,,,6.8275,,
2010-06-27,,,,,6.7896,,
2010-07-04,,,,,6.772,,
2010-07-11,,,,,6.7753,,
2010-07-18,,,,,6.7718,,
2010-07-25,,,,,6.779,,
2010-08-01,,,,,6.775,,
2010-08-08,,,,,6.773,,
