Date,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
2013-11-18,12016.67,4565.0,,,6.1351,,101.94
2013-11-25,12050.0,4562.5,375013373.0,24344624.0,6.138,,102.14
2013-12-02,12158.33,4567.5,,,6.1325,,103.53
2013-12-09,12391.67,4580.0,,,6.1232,,104.01
2013-12-16,12391.67,4582.5,,,6.1148,,101.57
2013-12-23,12158.33,4597.5,,,6.1196,,104.63
2013-12-30,11991.67,4605.0,421780057.0,23012790.0,6.105,,105.14
2014-01-06,11983.33,4602.5,,,6.1039,,102.77
2014-01-13,11883.33,4602.5,,,6.1008,,103.76
2014-01-20,11716.67,4600.0,,,6.1041,,103.8
2014-01-27,11391.67,4587.5,276655330.0,17469270.0,6.1035,,104.73
2014-02-03,11350.0,4585.0,,,6.105,,102.06
2014-02-10,11350.0,4584.0,,,6.1089,,103.47
2014-02-17,11083.33,4583.0,,,6.107,,103.94
2014-02-24,10833.33,4582.5,212834157.0,15931917.0,6.1176,,103.51
2014-03-03,11000.0,4581.5,,,6.1214,,109.81
2014-03-10,11025.0,4576.5,,,6.1201,10164.0,108.96
2014-03-17,10783.33,4575.0,,,6.1346,10163.0,108.42
2014-03-24,10866.67,4574.0,,,6.1475,10247.0,106.02
2014-03-31,10900.0,4571.5,235650440.0,13120443.0,6.149,10556.0,105.31
2014-04-07,11091.67,4556.5,,,6.1557,10791.0,99.71
2014-04-14,11233.33,4539.0,,,6.1495,,106.47
2014-04-21,11275.0,4534.0,,,6.1575,10846.0,106.82
2014-04-28,11391.67,4515.0,229256103.0,11747879.0,6.1576,10782.0,107.18
2014-05-05,11408.33,4510.0,,,6.158,,103.79
2014-05-12,11383.33,4509.0,,,6.1581,10796.0,101.59
2014-05-19,11350.0,4485.0,,,6.1628,10640.0,103.69
2014-05-26,11250.0,4445.0,241834583.0,18807889.0,6.1681,10969.0,103.79
2014-06-02,11266.67,4430.0,,,6.1695,10943.0,103.43
2014-06-09,11400.0,4427.5,,,6.1623,,105.61
2014-06-16,11475.0,4423.0,,,6.1503,11457.0,108.57
